id,paper_id_new,year,paper_title,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,metric_IG_specific,data_per_metric,outcome_new,outcome_instrument,outcome_smaller_category_new,outcome_larger_category_new,analysis_and_results mm-oo:analysis:resultsig,outcome -significance,test_type_standard,test_grouped,outcome_larger_category_corrected,metric_larger_category_corrected
58,58,2017,Moving as a Leader: Detecting Emergent Leadership in Small Groups using Body Pose,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Head/Body Movement
2) (Non)Concurrent Speech Length
3) Speaking Turn Duration/Number
4) Interruption","1) Body
2) Verbal
3) Verbal
4) Verbal","1) Gross Body Motion
2) Speech Participation
3) Speech Participation
4) Speech Participation","1) Gross Body Motion
2) Speech Participation
3) Speech Participation
4) Speech Participation","1) Individual
 2) Individual
 3) Group
 4) Group","1) pure_indiv
2) pure_indiv
3) indiv_freq_in_group
4) indiv_freq_in_group","1) II
2) III
3) III
4) III",a) leadership,a) human evaluation,a) group composition,a) condition,"1-A: sup. machine learning: sig
2+3+4-A: sup. machine learning: sig
1+2+3+4-A: sup. machine learning: mixed",a) 1,"machine learning
machine learning
machine learning","machine-learning
machine-learning
machine-learning",a) condition,"1) Body
2) Verbal
3) Verbal
4) Verbal"
59,59,2016,Detecting emergent leader in a meeting environment using nonverbal visual features only,II) Video,II) Camera,II) NS,1) Visual Field Of Attention On A Person Features,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) pure_indiv,1) II,a) leadership,a) survey,a) group composition,a) condition,"1-A: correlation: mixed
1-A: sup. machine learning: sig",a)1,"correlation
machine learning","correlation_regression
machine-learning",a) condition,1) Gaze
60,60,2013,An Automatic Approach for Mining Patterns of Collaboration around an Interactive Tabletop,"III) Audio
V) Log Data","III) Microphone
V) Own Application","III) Dev Audio
V) Cmate","1) Speech Time And Frequency
2) Symmetry Of Speech Among Group
3) Total Number Of Touch Actions
4) Symmetry Of Touch Actions Among Group","1) Verbal
2) Verbal
3) Log Data
4) Log Data","1) Speech Participation
2) Speech Participation
3) Touch
4) Touch","1) Speech Participation
2) Speech Participation
3) Touch
4) Touch","1) Individual
 2) Group
 3) Individual
 4) Group","1) pure_indiv
2) synchro
3) pure_indiv
4) synchro","1) III
2) III
3) V
4) V",a) collaboration,a) human evaluation,"
a) coordination
a) communication
a) engagement
a) interpersonal relationship",a) process,1+2+3+4-A: sup. machine learning: sig: (85%),a) 1,machine learning,machine-learning,a) process,"1) Verbal
2) Verbal
3) Log Data
4) Log Data"
61,61,2011,Modelling and Identifying Collaborative Situations in a Collocated Multi-display Groupware Setting,"III) Audio
V) Log Data","III) Microphone
V) Own Application","III) NS
V) NS","1) Speech Quantity
2) Physical Participation Quantity
3) Number Of Active Participants In Group
4) Verbal Participation Symmetry Among Group
5) Physical Participation Symmetry Among Group","1) Verbal
2) Log Data
3) Verbal
4) Verbal
5) Log Data","1) Speech Participation
2) Task-Related
3) Speech Participation
4) Speech Participation
5) Task-Related","1) Speech Participation
2) Task-Related
3) Speech Participation
4) Speech Participation
5) Task-Related","1) Individual
 2) Individual
 3) Group
 4) Group
 5) Group","1) pure_indiv
2) pure_indiv
3) indiv_freq_in_group
4) synchro
5) synchro","1) III
2) V
3) III
4) III
5) V",a) collaboration,a) human evaluation,a) communication,a) process,1+2+3+4-A: sup. machine learning: sig,a) 1,machine learning,machine-learning,a) process,"1) Verbal
2) Log Data
3) Verbal
4) Verbal
5) Log Data"
62,62,2020,Using Motion Sensors to Understand Collaborative Interactions in Digital Fabrication Labs,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Time Spent Individually
2) Time Spent As A Group
3) Diversity Of Collaborative Interactions
4) Transition Probabilities Between Collaborative State","1) Body
2) Body
3) Body
4) Body","1) Location
2) Location
3) Location
4) Location","1) Location
2) Location
3) Location
4) Location","1) Group
 2) Group
 3) Group
 4) Group","1) indiv_freq_in_group
2) indiv_freq_in_group
3) synchro
4) group_cycle","1) IV
2) IV
3) IV
4) IV","a) technical ability
B) social ability
c) time spent in makerspace
D) emotion","a) human evaluation
B) human evaluation
c) human evaluation
D) survey","a) performance
B) interpersonal relationship
c)performance
D)affective","a) product
B) process
c) product
D) process","1-A: correlation: mixed
2-A: correlation: mixed
2-B: correlation: mixed
4-A: correlation: mixed
4-C: correlation: mixed
4-D: correlation: mixed","a) 1/0
B) 1/0
c) 1/0
D) 1/0
E) 1/0","correlation
correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) process
c) product
D) process","1) Body
2) Body
3) Body
4) Body"
63,63,2020,What does physiological synchrony reveal about metacognitive experiences and group performance?,VI) EDA,VI) Electrodes,VI) Shimmer 3 Gsr+ ,1) Physiological Synchrony (Pc),1) Physiological,1) EDA,1) EDA,1) Group,1) synchro,1) VI,"a) confidence
B) mental effort
c) task performance
D) task performance
E) emotion
F) group performance
g) group performance ","a) survey
B) survey
c) survey
D) survey
E) survey
F) survey
g) task outcome","a)affective
B)engagement
c)performance
D)performance
E) affective
F) performance
g) performance","a) process
B) process
c) product
D)product
E) process
F) product
g) product","1-A: regression: nonsig
1-B: regression: sig: (positive)
1-C: regression: nonsig
1-D: regression: nonsig
1-E: regression: nonsig
1-F: regression: nonsig
1-G: regression: nonsig","a) 0
B)1
c) 0
D) 0
E) 0
F) 0
g)0","regression
regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) process
D) process
E) process
F) product
g) product",1) Physiological
64,64,2016,Physiological evidence of interpersonal dynamics in a cooperative production task,"VI) EDA
VII) ECG
XII) Other","VI) Electrodes
VII) Electrodes
XII) Electrodes","VI) Biopac Mp150
VII) Biopac El504
XII) Biopac El254S ","1) EDA Synchrony
2) Smiling Synchrony
3) Heart Rate Sychrony","1) Physiological
2) Head
3) Physiological","1) EDA
2) Facial Expressions
3) Heart","1) EDA
2) Facial Expressions
3) Heart","1) Group
 2) Group
 3) Group","1) synchro
2) synchro
3) synchro","1) VI
2) XII
3) VII","a) team cohesion
B) routine choice","a) survey
B) human evaluation","a) interpersonal relationship
B) coordination","a) process
B) process","1-A: regression: sig: (negative)
2-A: regression: sig
2-B: regression: sig","a) 1
B) 1","regression
regression
regression","correlation_regression
correlation_regression
correlation_regression","a) process
B) process","1) Physiological
2) Head
3) Physiological"
65,65,2017,Brain-to-Brain Synchrony Tracks Real-World Dynamic Group Interactions in the Classroom,VIII) EEG,VIII) EEG Sensor,"VIII) Emotiv
",1) Brain Synchrony,1) Physiological,1) Brain,1) Brain,1) Individual,1) pure_indiv,1) VIII,"a) engagement
B) social dynamics","a) survey
B) survey","a) engagement
B) interpersonal relationship","a) process
B) process","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1","regression
regression","correlation_regression
correlation_regression","a) process
B) process",1) Physiological
66,66,2013,Multi-modal Social Signal Analysis for Predicting Agreement in Conversation Settings,"III) Audio
II) Video
IV) Kinesiology","III) Microphone
II) Kinect
IV) Kinect ","III) Microsoft Kinect
II) Microsoft Kinect
IV) Microsoft Kinect","1) Upper Body Agitation
2) Hand Agitation
3) Head Orientation
4) Speech Length/Turns","1) Body
2) Body
3) Head
4) Verbal","1) Gross Body Motion
2) Hand Motion
3) Head Motion
4) Speech Participation","1) Gross Body Motion
2) Hand Motion
3) Head Motion
4) Speech Participation","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) IV
2) IV
3) II
4) III",a) agreement,a) human evaluation,a) coordination,a) process,1+2+3+4-A: sup. machine learning: sig: (75%),a)1,machine learning,machine-learning,a) process,"1) Body
2) Body
3) Head
4) Verbal"
67,67,2020,Predicting Collaborative Learning Quality through Physiological Synchrony Recorded by Wearable Biosensors,"VI) EDA
VII) ECG","VI) Wearable Sensor
VII) Wearable Sensor","VI) Huixin Psychorus
VII) Huixin Psychorus","1) EDA Synchrony
2) Heart Rate Sychrony","1) Physiological
2) Physiological","1) EDA
2) Heart","1) EDA
2) Heart","1) Group
 2) Group","1) synchro
2) synchro","1) VI
2) VII",a) collaboration quality,a) human evaluation,"a) coordination
a) engagement",a) process,"1-A: sup. machine learning: sig
2-A: sup. machine learning: nonsig",a) 1/0,"machine learning
machine learning","machine-learning
machine-learning",a) process,"1) Physiological
2) Physiological"
68,68,2020,Effects of Shared Gaze on Audio-Versus Text-Based Remote Collaborations,I) Eye Gaze,I) Eye Tracker,I) Tobii 4C,1) Shared Gaze,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) synchro,1) I,"a) cognitive load
B) collaboration quality
c) task performance
D) gaze overlap","a) survey
B) survey
c) task outcome
D) computation","a) engagement
B) coordination
B) communication
c) performance
D) coordination","a) process
B) process
c) product
D) process","1-A: ANOVA: nonsig
1-B: ANOVA: sig
1-C: ANOVA: sig
1-D: ANOVA: sig","a) 0
B) 1
c) 1
D) 1","ANOVA
ANOVA
ANOVA
ANOVA","between-group
between-group
between-group
between-group","a) process
B) process
c) product
D) process",1) Gaze
69,69,2020,Body synchrony in triadic interaction,II) Video,II) Camera,II) Canon VIxia Hv30,1) Body Synchronization,1) Body,1) Gross Body Motion,1) Gross Body Motion,1) Group,1) synchro,1) II,"a) cooperation
B) cultural style matching
c) language style matching
D) laughter","a) task outcome
B) human evaluation
c) human evaluation
D)human evaluation ","a) coordination
B) group composition
c) group composition
D) interpersonal relationship","a) process
B) condition
c) condition
D) process","1-A: regression: nonsig
1-B: regression: sig: (neg)
1-C: regression: sig: (neg)
1-D: regression: sig","a)0
B) 1
c) 1
D) 1","regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) condition
c) condition
D) process",1) Body
70,70,2017,Using the Tablet Gestures and Speech of Pairs of Students to Classify Their Collaboration,"III) Audio
V) Log Data","III) Microphone
V) Log Data","III) NS
V) NS","1) Speech Time
2) Prosodic Speech Features
3) Movement Of Objects","1) Verbal
2) Verbal
3) Log Data","1) Speech Participation
2) Speech Features
3) Task-Related","1) Speech Participation
2) Speech Features
3) Task-Related","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) object_indiv","1) III
2) III
3) V",a) collaboration quality,a)human evaluation,"a) coordination
a) communication ",a) process,1*2*3-A: sup. machine learning: sig,a)1,machine learning,machine-learning,,"1) Verbal
2) Verbal
3) Log Data"
71,71,2011,Improving Visibility of Remote Gestures in Distributed Tabletop Collaboration,IV) Kinesiology,IV) Video Camera Array,IV) NS,1) Gesture Type And Location,1) Body,1) Hand Motion,1) Hand Motion,1) Individual,1) pure_indiv,1) IV,"a) frequency of utterances
B) subjective workload","a) computation
B) survey","a) communication
B) engagement","a) process
B) process","1-A: ANOVA: sig
1-B: ANOVA: sig","a) 1
B) 1","ANOVA
ANOVA","between-group
between-group","a) process
B) process",1) Body
72,72,2010,Employing Social Gaze and Speaking Activity for Automatic Determination of the Extraversion Trait,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Speech Length
2) Attention Received Per Person
3) Attention Given By Person","1) Verbal
2) Gaze
3) Gaze","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Individual
 2) Individual
 3) Individual","1) indiv_freq_in_group
2) synchro
3) indiv_freq_in_group","1) III
2) II
3) II",a) personality,a) survey,a) group composition,a) condition,1*2*3-A: sup. machine learning: sig,a) 1,machine learning,machine-learning,a) condition,"1) Verbal
2) Gaze
3) Gaze"
73,73,2011,See What I’m Saying? Using Dyadic Mobile Eye Tracking to Study Collaborative Reference,I) Eye Gaze,I) Eye Tracker,I) Applied Science Laboratories (Asl) Eyevision System,1) Gaze Overlap,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I ,a) conversation contents,a) human evaluation,a) communication,a) process,1-A: regression: nonsig,a) 0,regression,correlation_regression,a) process,1) Gaze
74,74,2016,Privacy-Preserving Speech Analytics for Automatic Assessment of Student Collaboration,III) Audio,III) Microphone,III) NS,"1) Duration Of Speech By Each Student
2) Duration In Which Each Student Was Only Speaker
3) Duration Of Overlapping Speech From Pairs Of Students
4) Duration Of Overlapping Speech From All People
5) Duration Of Silence For All People
6) Prosodic And Tone Features","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) Individual
 2) Individual
 3) Group
 4) Group
 5) Group
 6) Individual","1) pure_indiv
2) pure_indiv
3) synchro
4) synchro
5) synchro
6) pure_indiv","1) III
2) III
3) III
4) III
5) III
6) III",a) collaboration quality,a) human evaluation,a) coordination,a) process,1*2*3*4*5*6-A: sup. machine learning: nonsig,a) 0,machine learning,machine-learning,a) process,"1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal"
75,75,2018,(Dis)Engagement Matters: Identifying Efficacious Learning Practices with Multimodal Learning Analytics,"IV) Kinesiology
II) Video","IV) Kinect
II) Camera","IV) Microsoft Kinect
II) NS","1) Clustered Hand/Wrist Movement
2) Object Manipulation","1) Body
2) Body","1) Hand Motion
2) Task-Related","1) Hand Motion
2) Task-Related","1) Individual
 2) Individual","1) pure_indiv
2) object_indiv","1) IV
2) II",a) learning gain,a) survey,a) learning,a) product,1-A: sup. machine learning: sig: (ACC: 76%),a) survey,machine learning,machine-learning,a) product,"1) Body
2) Body"
76,76,2015,Unraveling Students’ Interaction Around a Tangible Interface Using Multimodal Learning Analytics,"IV) Kinesiology
V) Log Data","IV) Kinect
V) Own Application","IV) Microsoft Kinect
V) Created","1) Amount Of Exploration
2) Types Of Exploration
3) Amount Of Movement
4) Type Of Movement
5) Body Synchronization
6) Body Distance","1) Body
2) Body
3) Body
4) Body
5) Body
6) Body","1) Task-Related
2) Task-Related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) Task-Related
2) Task-Related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) Individual
 2) Individual
 3) Individual
 4) Individual
 5) Group
 6) Group","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) synchro
6) synchro","1) V
2) V
3) IV
4) IV
5) IV
6) IV","a) individual learning gain
B) group learning gain
c) leadership","a) survey
B) survey
c) human evaluation ","a) learning
B) learning
c) Interpersonal relationship","a) product
B) product
c) process","1-A: correlation: nonsig
2-A: correlation: mixed
3-A: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
5-A: ANOVA: nonsig
6-A: correlation: nonsig
1,2,3,4,5,6-B: sup. machine learning: sig: (ACC: 100%)","a) 1/0
B) 1
c) 1","correlation
correlation
correlation
correlation
ANOVA
ANOVA
correlation
machine learning","correlation_regression
correlation_regression
correlation_regression
correlation_regression
between-group
between-group
correlation_regression
machine-learning","a) product
B) product
c) process","1) Log data
2) Log data
3) Body
4) Body
5) Body
6) Body"
78,78,2015,Does Seeing One Another’s Gaze Affect Group Dialogue? A Computational Approach,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii X1
III) NS","1) Joint Visual Attention
2) Simple Linguistic Features
3) Convergence Of Linguistic Styles
4) Coherence","1) Gaze
2) Verbal
3) Verbal
4) Verbal","1) Visual Attention
2) Speech Participation
3) Speech Content
4) Speech Content","1) Visual Attention
2) Speech Participation
3) Speech Content
4) Speech Content","1) Group
 2) Individual
 3) Group
 4) Group","1) synchro
2) pure_indiv
3) synchro
4) synchro","1) I
2) III
3) III
4) III","a) learning
B) collaboration","a) survey
B) human evaluation","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship","a) product
B) process","4-A: correlation: sig
4-B: ANOVA: sig
2-A: sup. machine learning: (75%)","a) 1
B) 1","correlation
ANOVA
machine learning","correlation_regression
between-group
machine-learning","a) product
B) process","1) Gaze
2) Verbal
3) Verbal
4) Verbal"
80,80,2021,Challenging Joint Visual Attention as a Proxy for Collaborative Performance,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) Computer System Audio
V) NS","I) SMI (Red 250 Eye Trackers 250Hz)
III) NS
V) NS","1) Joint Visual Attention
2) Joint Mental Effort
3) Dialogue","1) Gaze
2) Gaze
3) Verbal","1) Visual Attention
2) Visual Attention
3) Speech Features ","1) Visual Attention
2) Visual Attention
3) Speech Features ","1) Group
 2) Group
 3) Group","1) synchro
2) synchro
3) synchro","1) I
2) I
3) III",a) learning performance,a) task outcome,a) performance,a) product,"1-A: ANOVA: sig
2-A: ANOVA: sig",a) 1,"ANOVA
ANOVA","between-group
between-group",a) product,"1) Gaze
2) Gaze
3) Verbal"
81,81,2020,Deep neural networks for collaborative learning analytics: Evaluating team collaborations using student gaze point prediction,I) Eye Gaze,"I) Camera, Gaze-Tracker (Deep Neural Networks)","I) Microsoft Kinect, Gaze Following Framework (Gazefollow)",1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I,a) learning gain,a) learning test,a) learning,a) product,1-A: correlation: sig,a) 1,correlation,correlation_regression,a) product,1) Gaze
82,82,2020,"Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech","I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) NS
V) Own Application","I) SMI (Red 250 Eye Trackers 250Hz)
III) NS
V) NS","1) Individual Gaze (Transition From Image To Text)
2) Gaze Similarity (Collaborative Gaze)
3) Gaze Similarity (Gaze Transition Similarity)
4) Speech","1) Gaze
2) Gaze
3) Gaze
4) Verbal","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation","1) Individual
 2) Group
 3) Group
 4) Individual","1) pure_indiv
2) synchro
3) synchro
4) content_indiv","1) I
2) I
3) I
4) III","a) learning gain
B) task performance","a) learning test
B)task outcome","a) learning
B) performance","a) product
B) product","1-A: correlation: sig
1-B: correlation: sig
2-A: correlation: sig
2-B: correlation: sig","a) 1
B)1","correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) product","1) Gaze
2) Gaze
3) Gaze
4) Verbal"
83,83,2018,A Multimodal Exploration of Engineering Students Emotion and Electrodermal Activity in Design Activities,VI) EDA,VI) Wristband,VI) Empatica (E3),1) Mean Range-Corrected EDA Responses,1) Physiological,1) EDA,1) EDA,1) Individual,1) pure_indiv,1) VI,"a) emotion - negative
","a) survey
",a) affective,a) process,1-A: correlation: sig,a) 1,correlation,correlation_regression,a) process,1) Physiological
84,84,2020,"Multimodal, Multiparty Modeling of Collaborative Problem Solving Performance","I) Eye Gaze
II) Video
III) Audio","I) Eye Tracker
II) Web Camera
II) Emotient
III) Headset","I) Tobii 4C
II) NS
II) NS","1) Gaze Features (Fixation Dispersion, Number Of Fixations And Mean Fixation Duration, Mean Saccade Amplitude, Joint Attention)
2) Acoustic-Prosodic Information (Fundamental Frequency (Pitch), Loudness (Energy), Center Frequency And Amplitude Of The First Through Third Formants, Harmonics To Noise Ratio, Jitter, And Shimmer)
3) Facial Features (Face Area, Positive And Negative Valence, Expressivity, Face/Upper Body Motion)
4) Task Content Feature","1) Gaze
2) Verbal
3) Head
4) Verbal","1) Visual Attention
2) Speech Features
3) Facial Expressions
4) Task-Related","1) Visual Attention
2) Speech Features
3) Facial Expressions
4) Task-Related","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) content_indiv","1) I
2) III
3) III",a) task performance,a) task outcome,a) performance,a) product,"1,2,3,4-A: AUROC=0.71
1-A: AUROC=0.62
2-A: AUROC=0.54
3-A: AUROC=0.61
4-A: AUROC=0.67",,"AUROC
AUROC
AUROC
AUROC
AUROC","machine-learning
machine-learning
machine-learning
machine-learning
machine-learning",a) product,"1) Gaze
2) Verbal
3) Head
4) Log data"
85,85,2020,Temporal analysis of multimodal data to predict collaborative learning outcomes,"I) Eye Gaze
III) Audio
V) Log Data ","I) Eye Tracker
III) Microphone
V) NS","I) SMI (Red 250 Eye Trackers 250Hz)
III) NS
V) NS","1) Gaze
2) Entropy
3) Similarity
4) Cognitive Load
5) Auto-Correlation Coefficient
6) Energy
7) Shape Of Envelope
8) Linear Predictive Coding
9) Dialogue
10) Correct/Incorrect/Hint Feedbacks","1) Gaze
2) Gaze
3) Gaze
4) Gaze
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Verbal
10) Log Data","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Eye Physiology
5) Speech Features
6) Speech Features
7) Speech Features
8) Speech Features
9) Speech Content
10) Task-Related","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Eye Physiology
5) Speech Features
6) Speech Features
7) Speech Features
8) Speech Features
9) Speech Content
10) Task-Related","1) Individual
 2) Individual
 3) Group
 4) Individual
 5) Group
 6) Individual
 7) Individual
 8) Individual
 9) Group
 10) Individual","1) pure_indiv
2) pure_indiv
3) synchro
4) pure_indiv
5) synchro
6) pure_indiv
7) pure_indiv
8) complex_indiv
9) synchro
10) content_indiv","1) I
2) I
3) I
4) I
5) III
6) III
7) III
8) III
9) III
10) V",a) learning gain,a)  learning test,a) learning ,a) product,"9-A: correlation: sig
10-A: correlation: sig
1-A: correlation: nonsig
2-A: correlation: nonsig
3-A: correlation: nonsig
4-A : correlation: nonsig
5-A: correlation: nonsig
6-A: correlation: nonsig
7-A: correlation: nonsig
8-A: correlation: nonsig",a)  1/0,"correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression",a) product,"1) Gaze
2) Gaze
3) Gaze
4) Gaze
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Verbal
10) Log Data"
86,86,2014,Collaboration on Procedural Problems May Support Conceptual Knowledge More than You May Think,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) Computer Audio Chat
V) Computer","I) NS
III) NS
V) NS","1) Hint Behavior
2) Joint Visual Attention - Collaboration Quality
3) Moments Of Good Collaboration ","1) Log Data
2) Gaze
3) Log Data","1) Task-Related
2) Visual Attention
3) Task-Related","1) Task-Related
2) Visual Attention
3) Task-Related","1) Individual
 2) Group
 3) Group","1) content_indiv
2) synchro
3) synchro","1) V
2) I
3) III","a) learning gain
",a) learning test,a) learning ,a) product,"2-A: correlation: sig
2-A: correlation: nonsig",a) 1/0,"correlation
correlation","correlation_regression
correlation_regression",a) product,"1) Log Data
2) Gaze
3) Log Data"
87,87,2016,An Application of Extreme Value Theory to Learning Analytics: Predicting Collaboration Outcome from Eye-Tracking Data,I) Eye Gaze ,I) Eye Tracker ,I) NS ,"1) Gaze Visual Agitation
2) Gaze Spatial Entropy
3) Return Levels - Evt ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) I
2) I
3) I",a) quality of collaboration,a) task performance,a) coordination,a) process,"1-A: ANOVA: nonsig
2-A: ANOVA: nonsig
2-A: correlation: nonsig",a) 0,"ANOVA
ANOVA
correlation","between-group
between-group
correlation_regression",a) process,"1) Gaze
2) Gaze
3) Gaze"
88,88,2014,Using Dual Eye-Tracking to Evaluate Students' Collaboration with an Intelligent Tutoring System for Elementary-Level Fractions,I) Eye Gaze,I) Eye Tracker,I) SMI (Red 250 Eye Trackers 250Hz),"1) Joint Visual Attention
2) Gaze Recurrence ","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention","1) Visual Attention
2) Visual Attention","1) Group
 2) Group","1) synchro
2) synchro","1) I
2) I ",a) learning gain,a) survey,a) learning,a) product,1-A: correlation: sig,a) 1,correlation,correlation_regression,a) product,"1) Gaze
2) Gaze"
89,89,2013,"Understanding Collaborative Program Comprehension: Interlacing Gaze and Dialogues
","I) Eye Gaze
III) Audio","I) Eye Tracker
III) NS","I) Tobii 1750
III) NS","1) Gaze Episodes
2) Dialogue Episodes
3) Gaze Transitions","1) Gaze
2) Verbal
3) Gaze","1) Visual Attention
2) Speech Participation
3) Visual Attention","1) Visual Attention
2) Speech Participation
3) Visual Attention","1) Individual
 2) Group
 3) Individual",,"1) I
2) III
3) I",a) level of understanding,a) human evaluation,a) learning,a) product,1-A: ANOVA: sig,a) 1,ANOVA,between-group,a) product,"1) Gaze
2) Verbal
3) Gaze"
90,91,2005,Looking To Understand: The Coupling Between Speakers' and Listeners' Eye Movements and Its Relationship to Discourse Comprehension,I) Eye Gaze,I) Eye Tracker,I) Applied Science Laboratories (Asl) Eyevision System,1) Eye Movements,1) Gaze,1) Eye Motion,1) Eye Motion,1) Individual,1) pure_indiv,1) I,a) Learning ,a) learning test,a) learning,"a) product
",1-A: ANOVA: sig,a) task outcome,ANOVA,between-group,"a) product
",1) Gaze
91,92,2019,On the Same Wavelength: Exploring Team Neurosynchrony in Undergraduate Dyads Solving a Cyberlearning Problem With Collaborative Scripts,"III) Audio
VIII) EEG",VIII) EEG Sensor,VIII) B-Alert X-10,1) Brain Synchrony,1) Physiological,1) Brain,1) Brain,1) Group,1) synchro,1) VIII,"a) group performance
B) group collaboration","a) human evaluation
B) log data
","a) performance
B) coordination
","a) product
B) process","1-A: positive correlation: sig
1-B: negative correlation: sig","a) 1
B) 1
","correlation
correlation","correlation_regression
correlation_regression","a) product
B) process",1) Physiological
92,93,2013,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Posture Estimation
2) Hand-To-Face Gesture","1) Body
2) Body","1) Gross Body Motion
2) Gross Body Motion","1) Gross Body Motion
2) Gross Body Motion","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) IV","a) learning gain
","a) learning test
","a) learning
","a) product
",1-A: negative correlation: sig,"a)1
",correlation,correlation_regression,"a) product
","1) Body
2) Body"
94,95,2008,Effects of Knowledge Interdependence with the Partner on Visual and Action Transactivity in Collaborative Concept Mapping,I) Eye Gaze,I) Eye Tracker,I) Tobii 1750,"1) Concept Map Fixation Time Ratio
2) Number Of Concept-Map Eye-Gaze Transitions","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention","1) Visual Attention
2) Visual Attention","1) Individual
 2) Individual","1) pure_indiv
2) object_indiv",1) I,a) learning,a) learning test,a) learning,a) product,"1,2-A: negative correlation: sig",a) 1,correlation,correlation_regression,a) product,"1) Gaze
2) Gaze"
95,97,2008,The NISPI framework: Analysing collaborative problem-solving from students' physical interactions,II) Video,II) Camera,II) Microsoft Kinect,1) Physical Interactivity,1) Body,1) Gross Body Motion,1) Gross Body Motion,1) Group,1) synchro,"1) II
",a)cps competencies,a) human evaluation ,a) learning,a) product,1-A: ANOVA: sig,a) 1,ANOVA,between-group,a) product,1) Body
