ID updated,Paper_id_ new,,paper_id,coder,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,sample_size,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice
61,61,,93,callie,"Is it possible to automatically infer whether a group of learners is engaged in a collaborative situation, from the application and audio traces of interaction with a reasonable level of accuracy?",Model-building,The goal of our work is to explore ways to exploit readily available data to determine the level and nature of collaboration.,"Job Shop Scheduling (JSS) task, where six jobs and resources must be scheduled and optimised",NS,"Results show up to 69.4% accuracy (depending on the classifier) and that the error rate for extreme misclassification (e.g. when a collaborative episode is classified as non-collaborative, or vice-versa) is less than 7.6%.",G=13; I=39,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,age 18-27; college students,We argue that this technique can be used to show the teacher and the learners an overview of the extent of their collaboration so they can become aware of it.,NS
62,62,,94,callie,"RQ1: Do the instances of collaborative interactions (as detected by Kinect sensors) provide meaningful and accurate information about students’ performance in the makerspace?
RQ2: Do the diversity of collaborative interactions (as detected by Kinect sensors) provide meaningful and accurate information about students’ performance in the makerspace?
RQ3: What can the transitions between instances of interactions inform instructors about student learning experiences in the makerspace?",Observe learning; Metric-construct connection,the goal of this paper is to examine the instances and diversity of student collaborative interactions within makerspaces using Kinect sensors.,Natural makerspace interactions,NS,"Findings indicate that letting students work on their own promotes the development of technical skills, while working together encourages students to spend more time in the makerspace.",G=1; I=16,NS,ecological,Model/metric ,We need a [better] understanding of how people behave / We need a deeper understanding of construct X; We need a [better] way of measuring / detecting / predicting something,graduate students,"As such, this paper aims to provide instructional support in makerspaces through the examination of the instances and diversity of student collaborative interactions using motion sensors.",findings suggest that multimodal sensors have a role to play in aiding instructors in harnessing the full potential of makerspaces and represent initial steps towards the development of a semi-automated teacher dashboard to provide instructional support for makerspaces.
63,63,,96,bert,"(RQ1) Is there any relationship between PS and metacognitive experiences (ie, estimates of effort, judgement of confidence, task interest, task difficulty and emotions)?
(RQ2) Is there any relationship between PS and perceived group performance?
(RQ3) Is there a relationship between PS and objective group performance?",Metric-construct connection,is physiological synchrony (PS) correlated with  Collaborative Problem Solving (CPS). ,Tailorshop simulation,NS,"The results show a positive relationship between continuous PS episodes and groups’ collective mental effort. No relationship was found between PS and judgement of confidence, task interest, task difficulty or emotional valence. The relationship between PS and group performance was also non- significant. ",G=19; I=57,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,higher education students (Mage = 27.8; SDAge = 5.43; ffemal e = 43; fmale = 34),"multimodal data analytics offer new paths to observe and quantify the temporal and situated nature of metacognitive experiences. Further, multi- modal data analytics might help to develop objective metrics to assess group CPS performance.",NS
64,64,,97,bert,"i) that pairs of people from the same team (true dyads) have higher synchrony than pairs of people taken from dif- ferent teams (pseudo dyads);
ii) that synchrony is positively correlated with the perceived quality of cooperation and liking.",Scientific hypothesis testing; Model-building,we investigate the coordination dynamics of multiple psychophysiological measures and their utility in capturing emotional dynamics in teams.,Origami building task,"1) positive/active in which participants were induced by a trained experimenter acting positive (valence) and active (arousal)
2)  negative/inactive in which the ex- perimenter acted negative (valence) and inactive (arousal)","• Members of newly formed teams synchronize on physiological measures.
• Synchrony of smiling is correlated with team cohesion.
• Synchrony of skin conductance is correlated with group tension and negative affect.
• Synchrony of smiling may be a predictor of a team's decision to adopt a new routine. • Synchrony decreases after a team's decision to adopt a new routine.",G=51; I=153,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,"university students; age from 18 to 58 years old (μ = 24.0, σ = 4.5) ","These new results hold promise that team emo- tions as interpersonal synchrony can shed light on the emotional pro- cesses occurring in teams as they perform their tasks. However, in order to establish such a dynamical view on team emotions as a comple- ment to more established approaches further studies using synchrony measures are needed.",NS
65,65,,99,bert,"We explored the hypothesis that synchronized neural activity across a group of students predicts (and possibly underpins) classroom engagement and social dynamics. When students feel connected or engaged with the material or each other, are their brains in fact ‘‘in sync’’ in a formal, quantifiable sense? ",Scientific hypothesis testing; Model-building,"Yet we know so little about how it supports dynamic group interactions that the study of real-world social exchanges has been dubbed the ‘‘dark matter of social neuroscience’’ [2]. Recently, various studies have begun to approach this question by comparing brain responses of multiple individuals during a vari- ety of (semi-naturalistic) tasks",Natural classroom interactions,NS,"
Students’ brain-to-brain group synchrony predicts classroom engagement
Students’ brain-to-brain group synchrony predicts classroom social dynamics",G=1; I=12,NS,ecological,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,"high school students (9 females and 3 males, age 17-18)","These findings suggest that brain-to-brain synchrony is a sensitive marker that can predict dynamic classroom interactions, and this relationship may be driven by shared attention within the group. ",NS
66,66,,101,bert,Can Multi-modal Social Signal Analysis Predict Agreement in Conversation Settings?,Model-building,we present a non-invasive ambient intelligence framework for the analysis of non-verbal communication ap- plied to conversational settings,victim-offender meditation scenario,NS,"Using different state-of-the-art classification approaches, our system achieve upon 75% of recognition predicting agree- ment among the parts involved in the conversations, using as ground truth the experts opinions.",G=26; I=52,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,N/A,NS,NS
67,67,,103,bert,Can physiological synchrnoy predict collaboration quality in a naturalistic setting? ,Scientific hypothesis testing; Metric-construct connection,"The aim of the present study is to explore potentials of using physiological synchrony to measure collaboration quality in real educational settings, based on consistently identified synchrony during interpersonal interaction by previous studies",Problem-solving task,NS,"The result showed that during groups discussions, high collaboration pairs produced significantly higher synchrony than low collaboration dyads (p = 0.010).",G=16; I=30,NS,ecological,Model/metric,We need a [better] way of measuring / detecting / predicting something,"college students (M = 21.61, SD = 2.43, 8 females)",Our findings provide evidence for the potential application of biosensors in the real-world classroom. We focus on the connection between the bio-signals and human behaviors on which we believe is the advantage of this interdisciplinary research area. This project also suggests that future researches in the same realm place attention to the scope of appropriate assumptions and research questions so that the laboratory-based experiments and naturalistic setting studies can be good complement for each other.,NS
68,68,,104,bert,"Visualizing the collaborator’s point of gaze on a shared screen has been explored as a promising way to alleviate some of these limitations by increasing shared awareness. However, prior studies on shared gaze have not considered the medium of communication and have only studied its effect on audio.",Design,"Remote collaborations are becoming ubiquitous, but, despite their many advantages, face unique challenges compared to collocated collaborations",Murder mysteries,"1) voice
2) voice + gaze
3) text
4) text + gaze","We find that for text, shared gaze improved task correctness and led collaborators to look at and talk more about shared content. Similar trends are found for gaze-augmented voice communication, but contrary to the slower performance in text, it also saw improvements in completion time as well as in cognitive workload",G=24; I=48,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,"undergraduate students; 28 females, 19 males, 1 non-binary; between 18 and 24 years old","Ultimately, developers of novel gaze-sharing tools and interaction techniques should take into account the capabilities of the communication medium to better support remote collaborators.",NS
69,69,,105,bert,"Do triads show group synchrony, reflecting a general average affiliation among its three members? Or do triads show distinct patterns of synchrony in their component dyads, potentially reflecting mutual affiliation only among those pairs? Does increased bodily synchrony between a pair predict that they will form an alliance in future interactions? ",Scientific hypothesis testing; Model-building,Does triadic interaction exist compared to random pairings?,"natural conversation
Prisoner's dilemna",NS,"We correlated this measure of synchrony with a diverse set of covariates related to the outcome of interactions. Triads showed higher maximum cross-correlation relative to a surrogate baseline, and ‘meta-synchrony’, in that composite dyads in a triad tended to show correlated structure.",G=35; I=105,NS,lab,Model/metric ,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,undegraduate students; N/A,NS,NS
70,70,,174,iulian,"Can collaboration quality be predicted from nonverbal featuers such as log data and prosodic audio featuers, to such a strong degree as human raters ?",Model-building,"it is a worthwhile endeavor to develop technologies that are able to automatically assess the quality of collaboration and in this way provide the teacher with information to improve their ability to guide, assist and scaffold student groups. This",Interpreting and sorting math distance/time graphs,NS,"When this project began, we did not think the induced detectors would be accurate because they used only lowlevel features that do not understand what the participants are saying nor what plans and goals the task involves. Against these low expectations, the results were surprisingly good, with accuracies between 87 and 96 percent",G=14; I=28,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,graduate and undergraduate students,"If this method works, then it may become practical to equip a variety of software intended to be used collaborative with detectors which can be used in real world learning environments. ...  It is a worthwhile endeavor to develop technologies that are able to automatically assess the quality of collaboration and in this way provide the teacher with information to improve their ability to guide, assist and scaffold student groups",NS
71,71,,181,iulian,"Does remote lag affect collaborator interactions? Does it help them mitigate invisibility problems?
Do remote lags improve conversational efficiency by reducing unnecessary
questions/confirmations redundant instructions?
Do remote lags impose a greater mental load (e.g., effort, frustration) on users to gestures?",Design,"Collaborative distributed tabletop activities involving real objects are complicated by invisibility factors introduced into the workspace. In this paper, we propose a technique called “remote lag” to alleviate the problems caused by the invisibility of remote gestures.",LEGO layout in space,"1) No visualization of remote gestures
2) Visualization","Our results show that remote lags effectively alleviated the invisibility problems, resulting in fewer questions/confirmations and redundant instructions during collaboration. The technique also decreased the overall workload of workers as well as the temporal demands for both helpers and workers",G=20; I=80,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,"NS, but all females",Our next step is to explore the improvements raised here and carry out the technique in actual use.,NS
72,72,,182,iulian,Can speaking time and social gaze predict extravertedness? is classification time accuracy affected by size of time slices? does social context influence accuracy of prediction?,Model-building,"In order to predict the Extraversion personality trait, we exploit medium-grained behaviors enacted in group meetings, namely, speaking time and social attention (social gaze).",survival,NS,"The results of our work confirm many of our hypotheses: a) speaking time and (some forms of) social gaze are effective in automatically predicting Extraversion; b) classification accuracy is affected by the size of the time slices used for analysis, and c) to a large extent, the consideration of the social context does not add much to accuracy prediction, with an important exception concerning social gaze.",G=12; I=48,NS,lab,Model/metric,We need a [better] way of measuring /detecting / predicting something,NS,NS,NS
73,73,,503,steph,"What is the interaction between referential form, gaze, and spatial context in a collaborative naturalistic conversation elicitation task?  ",Observe learning,"This study aims to explore the interplay of gaze coordination, spatial context, and linguistic detail and form in the process of collaborative reference.",Naturalistic conversational elicitation task,1) seated side-by-side 2) seated across 3) mobile,"Our results detail measurable interactions between referential form, gaze, and spatial context and can be used to enable the development of more natural collaborative user interfaces.",G=33; I=66,NS,lab,Tool/application,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College,"Importantly, this study demonstrates the need for designers and builders of collaborative systems to acknowledge the systematic differences in collaborative reference between mobile and stationary users.","Probabilistic models based on findings like the ones in this paper could be used to assess topical shifts or attention shifts. Techniques such as these could help intelligent user interfaces to infer discourse focus, in turn helping systems to better track the status of a task or provide context-appropriate information. "
74,74,,506,iulian,Which/do audio features predict collaboration quality ?,Model-building,.,Solving math problems,NS,"Results reveal that both speech activity features and prosodic features are good predictors of collaboration quality, while their combination by means of fusion can considerably improve their collaboration prediction performance",G=47; I=141,NS,ecological,Model/metric,We need a [better] way of measuring / detecting / predicting something,"Middle school (6,7,8th grade US); age 11-13","The ultimate goal of the project is to produce knowledge about the feasibility of speech analytics and the creation of adaptive software that could help teachers
by identifying groups that need feedback in real time, as well as by helping teachers to better target their interventions.",NS
75,75,,,,"RQ1: What are the different forms of gestural engagement in the context of a paired, hands-on learning experience?
RQ2: What are effective learning practices in the engineering design context?",,"The current paper builds on these ideas by taking a deeper look at different forms of gestural engagement in the context of a paired, hands-on learning experience. Furthermore, it leverages a combination of unsupervised and supervised machine learning algorithms to help draw inferences about effective learning practices from the engineering design context. ","Two engineering design tasks: 1) first task asked students to use one sheet of printer paper to construct a structure that could support one or more engineering textbooks at least three inches above a table 2)  In the second task students had 10 minutes to use one paper plate, two feet of tape, three wooden sticks and four straws to build a structure that could support a mass of 0.5 lb. as high off the table as possible","The combination of machine learning and human inference helps elucidate the practices that seem to correlate with student learning. In particular, both engagement and disengagement seem to correlate with student learning, albeit in a somewhat nuanced fashion",,"G=27, I=54",,lab,,,University,,
76,76,,,,What measures from TUI logs and kinect sensors can best predict students' learning gains?,,"Our goal with this paper is twofold: first, we introduced methods to compute meaningful measures from logs generated by a tangible interface and Kinect data; second, we correlated those measures with students’ learning gains to find relevant predictors of learning.",EarExplorer:  Students are asked to connect the tangibles between the starting point and the ending point to let sound waves reach the auditory cortex,1) discover; 2) listen,"First, we showed that information retrieval techniques could be used on the system’s logs to predict learning gains as measured by pre and post-tests. Second, we explored how Kinect data can inform the way we understand “in-situ” interactions around a tabletop: we found that the raw amount of movement was not a relevant predictor for our purposes; however, we found that bimanual coordination was predictive of students’ leadership in a group. We found that we were able to predict students’ learning gains (i.e., being above or belong the median split) with very high accuracy (using all measures)",G=19; I=38,,lab,,,age mean 22.5; University,,
78,78,,,,"RQ1: Are there ways to characterize the effect of our intervention on student discourse?
RQ2: Is it possible to find markers of productive learning trajectories?
RQ3: Is it possible to find markers of constructive collaborations?",,"The goals ofthis paper are
1) to explore a variety of computational techniques for analyzing the transcripts ofstudent discussions;
2) to examine whether any of those measures sheds new light on ourprevious results; and
3) to test whether those metrics have any predictive power regardinglearning outcomes.",,"1) visible-gaze, students can see the gaze of their partner
2) no-gaze","eye-tracking data, Natural Language processing","G=22, 20, I=42",,lab,,,University students; age mean 23.0,University students; age mean 23.0,University students; age mean 23.0
79,79,,,,Does real-time mutual gaze perception intervention help students achieve a higher quality of collaboration and higher learning gains ?,,"88 freshmen engineering students completed online pretopic and posttopic emotions surveys for five engineering design activities. A subset of 14–18 participants, the focal point of this study, wore an EDA sensor while completing the surveys and participating in these sessions.","This course introduces students to the 3-Dcomputer-aided design (CAD) software, SolidEdge, through a series of five engineeringdesign method workshop topics created by an engineering instructor, allowing students toapply their 3-D CAD skills in the context of an engineering design problem.
",,"Preliminary findings suggest that EDA increased for individual and collaborative active learning activities compared to lectures. No significant changes in EDA were found between individual and collaborative active learning activities. Moderate negative correlations were found between EDA and negative topic emotions in the first engineering design activity but not across the rest. At the end of the semester, active learning activities showed higher effect sizes indicating a re-enforcement of students’ engagement in the engineering design method activities.",I=88,,lab,,,University students,University students,age mean 23; college students
80,80,,,,"1. How did the eye tracking measures (JVA and JME) relate to student performance?
2. How do JVA and JME relate to other indicators of collaboration, such as dialogue content and division of labor, and how do the interactions with student performance associate with JVA and JME?",,"Students were assigned to pairs based on their teachers’ pairings, and each pair was randomly assigned to one of four conditions, by crossing two factors; collaborative or individual instruction and problems geared towards conceptual knowledge or procedural knowledge.","Individual and collaborative versions of an ITS (Intelligent Tutoring Systems)
Problems geared towards conceptual knowledge or procedural knowledge
The problems targeting conceptual knowledgeincluded all three features, while procedural problems were supported through thecollaboration features of roles and unique information.",,"For the conceptual conditions, the students working individually (IC) requested significantly more hints than those working collaboratively (CC), while in the procedural conditions the students working individually (IP) asked for marginally more hints than the students working collaboratively (CP), t(27.8) = 2.00, p = .06.

While joint attention correlated with total test scores (i.e., conceptual and procedural items), there was no correlation between the amount of joint attention and the procedural test items, r = .14, p = .491. Surprisingly, for the procedural condition, there was a correlation between the joint attention and the conceptual test items, r =.35, p = .072, but this was not observed for the conceptual condition, r = .08, p =. 777.","G=42 , I=84",,lab,,,Elementary students (4th and 5th),Elementary students (4th and 5th),University students
81,81,,,,"H1. Students who share mutual gazes during the activity – for example, those teams with higher JVA values – obtain higher scores in their post-activity knowledge tests as well since they engage more in collaborative tasks",,"Understanding gender effects in collaboration dynamics and investigating best learning
","Students worked in teams to complete a muscle painting activity as part of their required laboratory activities. They were expected to identify and paint the major muscles of their body using one of the learning instruments (textbook, tablet or AR) and washable painting supplies.","Participants using instrumental tools with identical information
(study conditions)
1) textbook
2) interactive app on tablet
3) screen-based AR system","Experimental teams who interacted with 3D digital learning tools had a high frequency of JVA and better knowledge retention outcomes than those in the control group.
We also investigated the association of user study gender composition effects on JVA ratios and team test scores. We found no significant difference for JVA ratios or post-test scores among different teams with varied gender compositions.","G=30, I=60",,lab,,,Elementary students (4th and 5th),Elementary students (4th and 5th),University students
82,82,,,,"1. How does learners’ behavior (gaze and actions) affect their performance and the learning gain?
2. How does the gaze change in the di erent tasks in informal learning context?",,"Utilize DUET to understand how learners collaborate, engage with the content and learn with interactive displays ininformal educational settings",Participants were asked to go through a set of posters and interact with the application (both in collaborative and competitive ways).,game1) collaborative2) competitive,"The results show that collaboratively, pairs who have high gaze similarity have high learning outcomes.Individually, participants spending high proportions of time in acquiring the complementary information from images and textual parts of the learning material attain high learning outcomes.","G=18, I=36",,lab,,,University students,,
83,83,,,,This study hypothesizes that students would experience no self-reported mean changes in topic emotions from their pre-assessment scores for each engineering design topic and instructional format nor would electrodermal activities (EDA) associate to these topic emotions throughout the design activities.,,"The goal of this research is to improve our understanding of how students respond, via engagement, to their engineering design activities during class.","88 freshmen engineering students completed online pretopic and posttopic emotions surveys for five engineering design activities. A subset of 14–18 participants, the focal point of this study, wore an EDA sensor while completing the surveys and participating in these sessions.","This course introduces students to the 3-D
computer-aided design (CAD) software, SolidEdge, through a series of five engineering
design method workshop topics created by an engineering instructor, allowing students to
apply their 3-D CAD skills in the context of an engineering design problem.","Preliminary findings suggest that EDA increased for individual and collaborative active learning activities compared to lectures. No significant changes in EDA were found between individual and collaborative active learning activities. Moderate negative correlations were found between EDA and negative topic emotions in the first engineering design activity but not across the rest. At the end of the semester, active learning activities showed higher effect sizes indicating a re-enforcement of students’ engagement in the engineering design method activities.",I=88,,lab,,,University students,,
84,84,,,,"RQ1. How accurately do unimodal and multimodal non-verbal behavioral signals predict task performance?
RQ2: How do role-based, trait-based, and behavior-based approaches to combining multiparty features compare to an equal-weighting baseline?
RQ3: How do nonverbal and language models compare and does combining the two improve performance?
RQ4. How accurately can we prospectively predict task performance? ",,"We investigated the accuracy of machine-learned models trained on facial expressions, acoustic-prosodics, eye gaze, and task context information, computed one-minute prior to the end of a game level, at predicting success at solving that level.","We used Physics Playground as our problem-solving environment. Physics Playground is a two-dimensional educational game that aims to teach students basic Newtonian physics concepts through gameplay. Students complete levels by using mouse input to draw simple machines (ramps, levers, pendulums, and springboards) that guide a green ball to a red balloon.",1) At home surveys and short tutorials 2) In lab procedure,"AUROCs for unimodal models that equally weighted features from the three teammates ranged from .54 to .67, whereas a combination of gaze, face, and task context features, achieved an AUROC of .73. The various multiparty weighting strategies did not outperform an equal-weighting baseline. However, our best nonverbal model (AUROC = .73) outperformed a language-based model (AUROC = .67), and there were some advantages to combining the two (AUROC = .75). Finally, models aimed at prospectively predicting performance on a minute-by-minute basis from the start of the level achieved a lower, but still above-chance, AUROC of .60.","G=101, I=303",,lab,,,University students,,
85,85,,,,"RQ1 (Can temporal analysis expose relationships between variables that are not visible in overall frequency analyses?)
RQ2 (Does multimodal data provide more accurate predictions from those gained by single data streams for collaborative learning?)
RQ3 (What multimodal combinations are more beneficial than others?",,"In this paper, we investigate how both the use of multimodal data and moving from averages and counts to temporal aspects in a collaborative setting provides a better prediction of learning gains.",problem solving,"For the experiment, the dyads engaged in an equivalent fractions problem-solving activity using a networked collaborative ITS, which allowed them to synchronously work in a shared problem space where they could see each other’s actions while sitting at their own computers.",,"I =25, G = 12",,lab,,,middle school students,,
86,86,,,,"By analyzing different data streams from elementary school student’s collaborations, we can better understand what differentiates successful dyads from those that are less successful and how best to support these interactions in a CSCL environment for this age group.",,"We focus on how to best scaffold sense-making behaviors, as collaborationis often successful when these learning behaviors are elicited.","Students were assigned to pairs based on their teachers’ pairings, and each pair was randomly assigned to one of four conditions, by crossing two factors; collaborative or individual instruction and problems geared towards conceptual knowledge or procedural knowledge.","Individual and collaborative versions of an ITS (Intelligent Tutoring Systems)Problems geared towards conceptual knowledge or procedural knowledgeThe problems targeting conceptual knowledge
included all three features, while procedural problems were supported through the
collaboration features of roles and unique information.","For the conceptual conditions, the students working individually (IC) requested significantly more hints than those working collaboratively (CC), while in the procedural conditions the students working individually (IP) asked for marginally more hints than the students working collaboratively (CP), t(27.8) = 2.00, p = .06.While joint attention correlated with total test scores (i.e., conceptual and procedural items), there was no correlation between the amount of joint attention and the procedural test items, r = .14, p = .491. Surprisingly, for the procedural condition, there was a correlation between the joint attention and the conceptual test items, r =.35, p = .072, but this was not observed for the conceptual condition, r = .08, p =. 777.","G=42 , I=84",,ecological,,,Elementary students (4th and 5th),,
87,87,,,,Do extreme values from gaze episodes predict the quality of collaboratively produced concept maps better than central trends?,,We apply EVT to eye-tracking data collected during online collaborative problem solving with the aim of predicting the quality of collaboration.,"Upon their arrival in the laboratory, the participants signed a consent form. Then they took an individual pre-test on the basics of neuronal transmission. Then the participants individually watched two videos about “resting membrane potential.” Next, they created a collaborative concept-map using IHMC CMap tools.3 Finally, they took an individual post-test.",Participants worked as pairs when making the collaborative concept-map(10-12 minutes) in the laboratory.,,"G=33, I=66",,lab,,,University students,,
88,88,,,,"RQ1. Are 4th and 5th grade students able to show learning gains from a short period of instruction with a collaboration-enabled ITS?
RQ2. Is the development of conceptual knowledge especially facilitated when collaborators work on conceptually-oriented learning materials, compared to procedurally-oriented materials?
RQ3: Is joint visual attention related to increases in learning?",,"To investigate this effect, we leverage and expand upon a new methodology, dual eye-tracking, to understand how collaborators’ joint attention may impact learning in a collaboration-enabled Intelligent Tutoring System for fractions. We present results from a study in which 28 pairs of 4th and 5th grade students completed a set of either conceptually- or procedurally-oriented instructional activities in a school setting.","They were assigned to dyads based on their teachers’ pairings, and each dyad was randomly assigned to one of four conditions, created by crossing two factors; whether learning was collaborative or individual, and whether the learning materials were geared towards acquiring conceptual knowledge or procedural knowledge. As the present hypotheses are only concerned with the collaborative conditions, the sample of interest here are the 28 students in the collaborative/conceptual and 28 students in the collaborative/procedural conditions.","1) collaborative/conceptual condition: problems focus on understanding underlying principles of fraction equivalence, and how individual components (e.g., numerators, denominators) are interrelated2) collaborative/procedural condition: focused on scaffolding student problem solving as they create and compare equivalent fractions","Results indicate that students collaborating exhibited learning gains for conceptual knowledge, but not for procedural knowledge, and that more joint attention was related to learning gains.","1) G= 14, I= 282) G= 14, I= 28",,lab,,,Elementary students (4th and 5th),,
89,89,deleted90,,,"H1: task level and task unit level: How does the level of understanding relate to the prevalence of different gaze episodes?
H2: task unit level: How do the types of gaze episodes relate to the types of dialogue episodes?
H3: task unit level and operation level: How do different dialogue episodes relate to the different gaze transitions?",,"The present dual eye-tracking study examines the relationship between gaze, speech and performance in spatially distributed (remote) pair programming.","In the experiment, pairs of subjects had to solve two types of pair programming tasks. The task consisted of describing the rules of a game implemented as a Java program. ",,"In a nutshell, we showed that there is a relationship between gaze and dialogue indicators at different time scales. These relations help us understand the cognition that underlies program comprehension as well as the collaboration that underlies pair programming. ",G=16， I = 32,,lab,,,University students,,
90,91,,Looking To Understand: The Coupling Between Speakers’ and Listeners’ Eye Movements and Its Relationship to Discourse Comprehension,kavie,"H1. How speakers and listen- ers deployed their attention within a visual “common ground""?",,to investigate the temporal coupling between conversants’ eye movements and to examine whether this coupling is helpful to the success of the discourse.,One set of participants (speakers) talked spontaneously about a television show whose characters were displayed in front of them; and the listeners who look at the same display listen to the audio recordings of the speakers,,"1. The eye movements of speakers and listeners are linked;
2. How closely a listener is following a speaker's gaze predicts how well the lister will answer comprehension questions
","4 speakers, 36 listeners",,lab,,,university students,,
91,92,,On the Same Wavelength: Exploring Team Neurosynchrony in Undergraduate Dyads Solving a Cyberlearning Problem With Collaborative Script,"kavie, zoe","H1: Use of a social script will result in improved individual learning (individual knowledge acquisition) and team learning (collaborative problem-solving performance and efficiency).
H2: Dyads using a social script will exhibit higher alpha-band phase-locking values, indicating enhanced team neurosynchrony, compared to epistemic script dyads.",,1. Our study explored which collaboration script – epistemic or social – would result in increased alphaband across-brain synchrony and behavioral manifestations of improved learning during an authentic collaborative problem-solving task.,Teams use a cyberlearning environment to define the problem to be solved on the provided descrition and solve the problem using relevant resources and strategies,,"1) Analyses revealed greater alpha-band phase-locking values between the central and parietal electrodes of dyad members in the epistemic script condition
2) Mean alpha phase-locking values were positively correlated with collaborative problem solving performance and negatively correlated with time spent on the problem solving process, suggesting that epistemic scripts were more effective scaffolds of collaborative problem solving compared to social scripts in this study.",G=40; I=80,,lab,,,"University: age range 18-24; 70 male, 70 female",,
92,93,,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,kavie,"H1: Does the affective interpretation by one participant coincide with reported affective states of the other participant?
H2: Do one participant's bodily expressions coincide with reported affect of either participant?",,"1. To investigate the extent to which some dimensions of affect are implicitly expressed through computer-mediated textual dialogue
2. To see how the perceptions of one participant correspond to the posture and gesture expressed by the other participant, even when those multimodal features were not observable through the textual dialogue channel","Students participated for course credit in an introductory engineering course, ",,"1. Tutors implicitly perceived students’ focused attention, physical demand, and frustration.
2. Bodily expressions of posture and gesture correlated with student cognitive-affective states that were perceived by tutors through the implicit affective channel.
3. Posture and gesture complement each other in multimodal predictive models of student cognitive-affective states, explaining greater variance than either modality alone.",I = 42,,lab,,,students,,
93,94,,"The relationships between learner variables, tool-usage behaviour and performance",kavie,"H1: How does tool-usage behaviour differ between students (i.e., frequency of tool use and proportional time spent on tools) in an open learning environment?
H2: Do different patterns result in performance differences?
H3: Can different patterns be related to the variation of learner
variables (prior knowledge and goal orientation)?
",,"1. In order to better understand the impact of learner variables on tool use, the current study investigates the relationships between learner variables, the quantitative aspects of tool-usage behaviour and its out- come (i.e., performance).
2. More specifically, the focus is on how the variation in tool use is related to prior knowledge and goal orientation and how this variation affects performance. ",Participants use a computer-based learning program - STUWAWA that engages them in ecological decision making. They were asked to collect evidence to build up their arguments from three perspectives,,"1. Variation in tool-usage behaviour is related to mastery goal orientation.
2. Distinguished tool-usage behaviour could result in significantly different tool- usage outcomes.  ",I = 58,,lab,,,"97% female, university students",,
94,95,,Effects of Knowledge Interdependence with the Partner on Visual and Action Transactivity in Collaborative Concept Mapping,kavie,"H1: To what extent do participants visually refer to their partner’s prior knowledge (the partner’s individual concept map) while building the collaborative concept map (visual transactivity)?
H2: To what extent do participants manipulate their partner’s contributions (intersubjective uptake acts) in the collaborative map (action transactivity)?
H3: To what extent does transactivity at both the visual and action levels influence (a) individual learning and also (b) equivalence between learning partners regarding the extent of their outcome knowledge
H4: To what extent does a computer-supported script designed to create knowledge interdependence among co-learners influence both individual acquisition of knowledge and outcome knowledge equivalence?
H5: To what extent does knowledge interdependence influence (a) the amount of time participants spent looking at their partner’s individual concept map (visual transactivity) and (b) the number of uptake acts during the building of the collaborative concept map (action transactivity)?",,"1. We wanted to deepen our knowledge of how students – working in dyads – construct a common concept map in order to graphically represent their shared understanding of a particular learning topic (the functioning of the neuron).
2. More specifically, we focused on transactivity in collaborative concept mapping. ",Participants worked in dyads to build a concept map collaboratively,"1) same information
2) complementary condition","1. found that the degree to which participants co-manipulate the same objects in the collaborative map (action transactivity) is higher when they discussed identical (rather than complementary) information.
2. Results from eye-gaze data showed that participants who shared complementary information transitioned more frequently between their own map and their partner’s map; eye-movement transitions between own and peer maps were also negatively correlated with learning outcomes.",G=29; I=58,,lab,,,"47 men, 11 women, university students",,
95,96,,On the Same Wavelength: Exploring Team Neurosynchrony in Undergraduate Dyads Solving a Cyberlearning Problem With Collaborative Script,zoe,"H1: Use of a social script will result in improved individ-ual learning (individual knowledge acquisition) and teamlearning (collaborative problem-solving performanceand efficiency).
H2: Dyads using a social script will exhibit higheralpha-band phase-locking values, indicating enhancedteam neurosynchrony, compared to epistemic scriptdyads",,"Thisstudy explored the synchrony of mutually interacting brains,or team neurosynchrony, during cyber-enabled collabora-tive problem solving.",,,,"I = 80, G=40",,lab,,,140 undergraduate students at alarge public university in the southeastern United States.All participants werebetween 18 and 24 years old.,,
